stt,age,inc,eth,sex,edu,pop2008
AL,45-64,$20-40k,Hispanic,Male,< HS,303
AL,45-64,$20-40k,Hispanic,Male,HS,252
AL,45-64,$20-40k,Hispanic,Male,Some Coll,171
AL,45-64,$20-40k,Hispanic,Male,Coll,19
AL,45-64,$20-40k,Hispanic,Male,Post-Grad,0
AL,45-64,$20-40k,Hispanic,Female,< HS,252
AL,45-64,$20-40k,Hispanic,Female,HS,77
AL,45-64,$20-40k,Hispanic,Female,Some Coll,114
AL,45-64,$20-40k,Hispanic,Female,Coll,139
AL,45-64,$20-40k,Hispanic,Female,Post-Grad,0
AL,45-64,$20-40k,Other,Male,< HS,1008
AL,45-64,$20-40k,Other,Male,HS,883
AL,45-64,$20-40k,Other,Male,Some Coll,506
AL,45-64,$20-40k,Other,Male,Coll,140
AL,45-64,$20-40k,Other,Male,Post-Grad,41
AL,45-64,$20-40k,Other,Female,< HS,550
AL,45-64,$20-40k,Other,Female,HS,967
AL,45-64,$20-40k,Other,Female,Some Coll,1080
AL,45-64,$20-40k,Other,Female,Coll,326
AL,45-64,$20-40k,Other,Female,Post-Grad,52
AL,45-64,$40-75k,White,Male,< HS,17166
AL,45-64,$40-75k,White,Male,HS,48167
AL,45-64,$40-75k,White,Male,Some Coll,37804
AL,45-64,$40-75k,White,Male,Coll,15163
AL,45-64,$40-75k,White,Male,Post-Grad,8241
AL,45-64,$40-75k,White,Female,< HS,13425
AL,45-64,$40-75k,White,Female,HS,53337
AL,45-64,$40-75k,White,Female,Some Coll,42956
AL,45-64,$40-75k,White,Female,Coll,13464
AL,45-64,$40-75k,White,Female,Post-Grad,11257
AL,45-64,$40-75k,Black,Male,< HS,6972
AL,45-64,$40-75k,Black,Male,HS,13852
AL,45-64,$40-75k,Black,Male,Some Coll,10118
AL,45-64,$40-75k,Black,Male,Coll,2388
AL,45-64,$40-75k,Black,Male,Post-Grad,926
AL,45-64,$40-75k,Black,Female,< HS,4321
AL,45-64,$40-75k,Black,Female,HS,12324
AL,45-64,$40-75k,Black,Female,Some Coll,12319
AL,45-64,$40-75k,Black,Female,Coll,4918
AL,45-64,$40-75k,Black,Female,Post-Grad,2886
AL,45-64,$40-75k,Hispanic,Male,< HS,509
AL,45-64,$40-75k,Hispanic,Male,HS,324
