company,ticker,date,price
Alphabet,GOOG,2009-04-15,189.56
Alphabet,GOOG,2009-04-14,184.27
Alphabet,GOOG,2009-04-13,188.87
Alphabet,GOOG,2009-04-09,186.06
Alphabet,GOOG,2009-04-08,180.82
Alphabet,GOOG,2009-04-07,179.15
Alphabet,GOOG,2009-04-06,183.94
Alphabet,GOOG,2009-04-03,184.71
Alphabet,GOOG,2009-04-02,181.07
Alphabet,GOOG,2009-04-01,176.87
Alphabet,GOOG,2009-03-31,173.86
Alphabet,GOOG,2009-03-30,171.17
Alphabet,GOOG,2009-03-27,173.68
Alphabet,GOOG,2009-03-26,176.47
Alphabet,GOOG,2009-03-25,171.86
Alphabet,GOOG,2009-03-24,173.41
Alphabet,GOOG,2009-03-23,174.13
Alphabet,GOOG,2009-03-20,164.91
Alphabet,GOOG,2009-03-19,164.81
Alphabet,GOOG,2009-03-18,166.38
Alphabet,GOOG,2009-03-17,167.5
Alphabet,GOOG,2009-03-16,159.69
Alphabet,GOOG,2009-03-13,162.05
Alphabet,GOOG,2009-03-12,161.6
Alphabet,GOOG,2009-03-11,158.8
Alphabet,GOOG,2009-03-10,153.93
Alphabet,GOOG,2009-03-09,145.3
Alphabet,GOOG,2009-03-06,154.13
Alphabet,GOOG,2009-03-05,152.67
Alphabet,GOOG,2009-03-04,159.3
Alphabet,GOOG,2009-03-03,162.58
Alphabet,GOOG,2009-03-02,163.42
Alphabet,GOOG,2009-02-27,168.83
Alphabet,GOOG,2009-02-26,168.42
Alphabet,GOOG,2009-02-25,170.65
Alphabet,GOOG,2009-02-24,172.55
Alphabet,GOOG,2009-02-23,164.86
Alphabet,GOOG,2009-02-20,173.05
Alphabet,GOOG,2009-02-19,171.15
Alphabet,GOOG,2009-02-18,176.38
Alphabet,GOOG,2009-02-17,171.16
Alphabet,GOOG,2009-02-13,178.66
Alphabet,GOOG,2009-02-12,181.34
Alphabet,GOOG,2009-02-11,178.84
Alphabet,GOOG,2009-02-10,179.08
Alphabet,GOOG,2009-02-09,189.2
Alphabet,GOOG,2009-02-06,185.45
Alphabet,GOOG,2009-02-05,176.68
Alphabet,GOOG,2009-02-04,171.33
Alphabet,GOOG,2009-02-03,170.05
Alphabet,GOOG,2009-02-02,170.11
Alphabet,GOOG,2009-01-30,169.1
Alphabet,GOOG,2009-01-29,171.49
Alphabet,GOOG,2009-01-28,174.16
Alphabet,GOOG,2009-01-27,165.57
Alphabet,GOOG,2009-01-26,161.77
Alphabet,GOOG,2009-01-23,162.19
Alphabet,GOOG,2009-01-22,153.1
Alphabet,GOOG,2009-01-21,151.39
Alphabet,GOOG,2009-01-20,141.23
Alphabet,GOOG,2009-01-16,149.69
Alphabet,GOOG,2009-01-15,149.35
Alphabet,GOOG,2009-01-14,150.33
Alphabet,GOOG,2009-01-13,157
Alphabet,GOOG,2009-01-12,156.19
Alphabet,GOOG,2009-01-09,157.38
Alphabet,GOOG,2009-01-08,162.43
Alphabet,GOOG,2009-01-07,160.84
Alphabet,GOOG,2009-01-06,166.86
Alphabet,GOOG,2009-01-05,163.86
Alphabet,GOOG,2009-01-02,160.5
Alphabet,GOOG,2008-12-31,153.67
Alphabet,GOOG,2008-12-30,151.4
Alphabet,GOOG,2008-12-29,148.56
Alphabet,GOOG,2008-12-26,150.03
Alphabet,GOOG,2008-12-24,151.32
Alphabet,GOOG,2008-12-23,148.86
Alphabet,GOOG,2008-12-22,148.41
Alphabet,GOOG,2008-12-19,154.93
Alphabet,GOOG,2008-12-18,154.98
Alphabet,GOOG,2008-12-17,157.46
Alphabet,GOOG,2008-12-16,162.48
Alphabet,GOOG,2008-12-15,155.18
Alphabet,GOOG,2008-12-12,157.72
Alphabet,GOOG,2008-12-11,149.96
Alphabet,GOOG,2008-12-10,154.26
Alphabet,GOOG,2008-12-09,152.83
Alphabet,GOOG,2008-12-08,150.9
Alphabet,GOOG,2008-12-05,141.85
Alphabet,GOOG,2008-12-04,137.03
Alphabet,GOOG,2008-12-03,139.58
Alphabet,GOOG,2008-12-02,137.42
Alphabet,GOOG,2008-12-01,132.86
Alphabet,GOOG,2008-11-28,146.33
Alphabet,GOOG,2008-11-26,145.9
Alphabet,GOOG,2008-11-25,140.88
Alphabet,GOOG,2008-11-24,128.59
Alphabet,GOOG,2008-11-21,131.08
Alphabet,GOOG,2008-11-20,129.65
Alphabet,GOOG,2008-11-19,139.95
Alphabet,GOOG,2008-11-18,148.56
Alphabet,GOOG,2008-11-17,149.91
Alphabet,GOOG,2008-11-14,154.85
Alphabet,GOOG,2008-11-13,155.88
Alphabet,GOOG,2008-11-12,145.35
Alphabet,GOOG,2008-11-11,155.57
Alphabet,GOOG,2008-11-10,159.23
Alphabet,GOOG,2008-11-07,165.4
Alphabet,GOOG,2008-11-06,165.44
Alphabet,GOOG,2008-11-05,170.95
Alphabet,GOOG,2008-11-04,183.29
Alphabet,GOOG,2008-11-03,173.07
Alphabet,GOOG,2008-10-31,179.5
Alphabet,GOOG,2008-10-30,179.67
Alphabet,GOOG,2008-10-29,178.82
Alphabet,GOOG,2008-10-28,184.19
Alphabet,GOOG,2008-10-27,164.58
Alphabet,GOOG,2008-10-24,169.48
Alphabet,GOOG,2008-10-23,175.98
Alphabet,GOOG,2008-10-22,177.66
Alphabet,GOOG,2008-10-21,181.19
Alphabet,GOOG,2008-10-20,189.47
Alphabet,GOOG,2008-10-17,186.08
Alphabet,GOOG,2008-10-16,176.33
Alphabet,GOOG,2008-10-15,169.42
Alphabet,GOOG,2008-10-14,181.17
Alphabet,GOOG,2008-10-13,190.32
Alphabet,GOOG,2008-10-10,165.83
Alphabet,GOOG,2008-10-09,164.33
Alphabet,GOOG,2008-10-08,168.89
Alphabet,GOOG,2008-10-07,172.83
Alphabet,GOOG,2008-10-06,185.42
Alphabet,GOOG,2008-10-03,193.26
Alphabet,GOOG,2008-10-02,195.05
Alphabet,GOOG,2008-10-01,205.65
Alphabet,GOOG,2008-09-30,200.06
Alphabet,GOOG,2008-09-29,190.31
